label,area,centroid-0,centroid-1,major_axis_length,minor_axis_length,orientation,perimeter,max_intensity-0,max_intensity-1,max_intensity-2,mean_intensity-0,mean_intensity-1,mean_intensity-2,min_intensity-0,min_intensity-1,min_intensity-2,major_axis_length(mm),minor_axis_length(mm),perimeter(mm),area(mm),Roundness Index,Elongation Index,shape,circularity,elongation,compactness
1,700,429.05857142857144,580.49,34.07879690359939,26.79694487557209,-0.082936349062023,101.39696961966999,122.0,109.0,107.0,42.83857142857143,36.292857142857144,33.105714285714285,0.0,0.0,0.0,0.3129797208394121,0.24610318111376303,0.9312299179838359,0.059042118093476266,93.78944199669503,0.2136769102684547,coarse sand,0.8555747372264243,1.2717418743755893,0.0858128296076998
2,479,208.22338204592901,815.2713987473904,38.71447660865752,16.757806623905704,-0.9520788277626825,94.66904755831213,85.0,85.0,85.0,40.931106471816285,35.87891440501044,33.65344467640919,0.0,0.0,0.0,0.35555381006252024,0.15390372065854527,0.869440671886046,0.0404016779525359,77.58409324261027,0.5671436606698632,coarse sand,0.6716288789356974,2.310235311668397,0.08064177852296783
3,315,255.54603174603176,694.0031746031746,26.440723463251235,15.597011802156374,1.5204067130416958,70.2842712474619,85.0,85.0,64.0,39.888888888888886,34.352380952380955,32.61904761904762,0.0,0.0,0.0,0.2428316431395622,0.1432429793098808,0.6454908504152261,0.026568953142064318,62.91587036291511,0.4101140302067016,coarse sand,0.8013165739438238,1.695242896437102,0.044662965873963845
4,1473,370.47793618465715,603.9945689069925,46.18138477657664,41.585146294501584,-1.3478462850622634,146.81118318204307,126.0,111.0,101.0,34.035980991174476,28.17379497623897,24.93957909029192,0.0,0.0,0.0,0.4241299056488647,0.38191804467558965,1.3483141220741428,0.1242414856452722,136.05243075723072,0.09952578304681514,sand,0.858804543427528,1.110525966399757,0.1686891978883046
5,642,437.4190031152648,652.6978193146417,32.80307214348906,25.18541744628578,0.5818830599552492,94.66904755831214,101.0,95.0,86.0,39.728971962616825,34.19781931464174,31.14797507788162,0.0,0.0,0.0,0.3012634627679575,0.2313029108351543,0.8694406718860461,0.054150056880016804,89.81987494100952,0.23222381927770985,coarse sand,0.9001789984900159,1.3024629118596045,0.07910446206146825
6,835,473.80598802395207,946.6910179640719,44.84936302340143,24.43811846554878,-0.2028923610824334,122.66904755831213,105.0,96.0,90.0,47.25988023952096,41.446706586826345,37.10898203592814,0.0,0.0,0.0,0.41189661591037724,0.2244397158979545,1.1265927130303726,0.07042881229721812,102.43495235021057,0.45510667670358,sand,0.6973107378506125,1.8352216062225515,0.12334412415113272
7,597,577.8726968174204,103.25125628140704,28.962949636842808,26.47685600423625,-0.3626927993055275,90.76955262170047,95.0,89.0,80.0,45.5108877721943,38.743718592964825,34.74204355108878,0.0,0.0,0.0,0.26599577202408786,0.2431634844490632,0.8336277046581297,0.050354492145436185,86.61479813965063,0.08583703192454128,coarse sand,0.9105500137983291,1.0938968596652408,0.06735175287925448
8,546,694.1318681318681,305.45604395604397,30.81169056821698,22.918892596839424,1.5452069585691506,88.08326112068522,108.0,99.0,93.0,28.978021978021978,23.875457875457876,20.750915750915752,0.0,0.0,0.0,0.2829746114544425,0.21048714328731616,0.8089567995654608,0.046052852112911484,82.83259235011367,0.25616244437814695,coarse sand,0.8843328060114979,1.3443795522854363,0.06852212100711534
9,263,690.1673003802281,634.7300380228137,21.66648731206931,15.720188622191916,0.6802527197434873,60.2842712474619,129.0,116.0,107.0,63.02281368821293,55.159695817490494,48.90114068441065,0.0,0.0,0.0,0.19898505131165273,0.1443742354060882,0.5536508357208237,0.022182967226548937,57.48874212901568,0.2744468267620387,coarse sand,0.9094055115780038,1.378258736761155,0.03344146767932083
10,1315,759.3650190114068,717.6448669201521,52.69021849244737,33.20912365511046,-0.4740579333673246,146.12489168102783,98.0,90.0,83.0,32.68212927756654,27.352091254752853,24.873764258555134,0.0,0.0,0.0,0.48390704405976365,0.3049926404473569,1.3420112199203547,0.11091483613274469,128.54873534143505,0.3697288679895935,sand,0.7739042156422749,1.5866187569312453,0.18184937982830796
