label,area,centroid-0,centroid-1,major_axis_length,minor_axis_length,orientation,perimeter,max_intensity-0,max_intensity-1,max_intensity-2,mean_intensity-0,mean_intensity-1,mean_intensity-2,min_intensity-0,min_intensity-1,min_intensity-2,major_axis_length(mm),minor_axis_length(mm),perimeter(mm),area(mm),Roundness Index,Elongation Index,shape,circularity,elongation,compactness
1,163,482.14723926380367,151.87730061349694,16.750770825951502,12.475325247997082,0.5711522897659865,45.79898987322333,118.0,111.0,104.0,81.80981595092024,74.22085889570552,70.34969325153374,0.0,0.0,0.0,0.15383910387979519,0.11457340540935006,0.42061799029456143,0.013748378927480901,45.25835182748644,0.2552387363171724,medium sand,0.9765301792254115,1.3427121532274955,0.02035389583079863
2,967,594.0754912099276,611.9751809720786,49.2734286079113,25.374124388942757,1.4040273779339367,125.49747468305833,113.0,111.0,108.0,47.97207859358842,42.474663908996895,38.17063081695967,0.0,0.0,0.0,0.4525272407394158,0.23303599567380956,1.1525689919002462,0.08156246885198792,110.23466053871316,0.4850343256838289,sand,0.7715540662670269,1.9418770024388745,0.1458293595289673
3,768,706.5559895833334,372.1692708333333,33.55469013410498,29.423474259433014,-0.36706580727783283,102.5685424949238,208.0,204.0,197.0,62.934895833333336,56.52734375,52.03515625,0.0,0.0,0.0,0.30816632349823186,0.2702252308346697,0.9419896449917233,0.06477763813684254,98.2393639628629,0.1231188801971084,coarse sand,0.9173661597694229,1.1404054408478808,0.08850194006234034
4,634,820.7476340694006,438.1198738170347,30.721879715578705,26.420092258901775,0.2416496622584114,92.42640687119285,153.0,151.0,148.0,79.07728706624606,72.02523659305994,65.88958990536278,0.0,0.0,0.0,0.28214978845184097,0.24264216612850045,0.8488442565201161,0.053475289816091356,89.2584952231647,0.1400235759173142,coarse sand,0.9326248476676058,1.1628225751266075,0.07362263580080199
5,760,841.9368421052632,712.7907894736842,41.493560661689045,23.877412391352163,-0.8997442401893743,109.98275605729688,133.0,132.0,128.0,43.50657894736842,39.459210526315786,35.959210526315786,6.0,4.0,1.0,0.3810769220892597,0.2192901904886087,1.0100817932433013,0.06410287107291708,97.72636116684674,0.42455137591028314,sand,0.7895402219121519,1.7377745955720494,0.10886955526406573
6,768,855.5690104166666,351.8958333333333,36.728156294012706,26.943633604181787,0.06838202044066483,104.42640687119285,136.0,131.0,125.0,80.18489583333333,74.54817708333333,68.83854166666667,21.0,18.0,13.0,0.3373114413740433,0.2474503706128648,0.9590522741533989,0.06477763813684254,98.2393639628629,0.26640386224412677,coarse sand,0.8850145569565098,1.36314785279415,0.09687209370558783
7,582,860.180412371134,415.159793814433,30.852730707017958,24.2524869107834,0.7498456693929282,90.5269119345812,208.0,202.0,195.0,79.7766323024055,73.14089347079037,66.97079037800687,24.0,20.0,16.0,0.28335152414949677,0.22273487542621478,0.8313992922310803,0.049089303900575976,85.51975033614772,0.2139273783870685,coarse sand,0.8924367312599135,1.2721470923998268,0.070839265450908
8,191,902.5183246073299,424.0261780104712,17.342553787921464,14.273859010478514,0.8982453006386583,50.87005768508881,128.0,128.0,128.0,73.06806282722513,66.49738219895288,61.47643979057592,0.0,0.0,0.0,0.15927403947211702,0.13109114212681738,0.4671906845303651,0.01611006365121995,48.99159915069727,0.17694595703547408,medium sand,0.9275103638566756,1.2149870455628156,0.022811228883443706
9,586,1009.481228668942,523.7354948805461,32.48533264907518,24.438568831905364,-1.5194184425377943,98.08326112068522,135.0,130.0,128.0,48.10409556313993,42.8839590443686,39.55460750853242,0.0,0.0,0.0,0.29834534278436126,0.22444385206323517,0.9007968142598632,0.0494266874325387,85.81312941511034,0.24770452265628562,coarse sand,0.765451513205629,1.329264936605637,0.07484366991073303
10,788,367.8604060913706,242.87309644670052,37.09845018980597,28.062086801248334,1.1766169515123557,108.8111831820431,128.0,128.0,85.0,65.79187817258884,58.9492385786802,54.536802030456855,0.0,0.0,0.0,0.3407122210571334,0.2577222464182241,0.9993220662354142,0.06646455579665614,99.51030119598185,0.24357792151222207,coarse sand,0.8363518387782526,1.3220132363126915,0.09911464372934255
11,166,432.644578313253,482.40361445783134,15.892872058979991,13.351360602548215,-1.2589397460375835,46.04163056034262,128.0,128.0,128.0,68.54819277108433,63.36746987951807,58.993975903614455,0.0,0.0,0.0,0.14596016034329787,0.12261891539282925,0.422846402721611,0.014001416576452942,45.67294080726161,0.15991517750850695,medium sand,0.98404862897411,1.1903559893324063,0.019488363863679126
12,299,437.5117056856187,394.4247491638796,21.878480208235626,17.526907475443725,1.5455039925581937,62.8700576850888,103.0,94.0,91.0,69.47491638795987,61.919732441471574,57.88294314381271,0.0,0.0,0.0,0.20093199438155507,0.1609671440092182,0.5773987021636479,0.025219419014213432,61.29718438634349,0.19889739558572522,coarse sand,0.9505902044157847,1.248279551819893,0.03600573600823322
13,138,531.2246376811594,361.6666666666667,15.24302711116992,11.59052697785803,1.3477807057580709,41.798989873223334,104.0,92.0,87.0,71.47826086956522,63.41304347826087,58.405797101449274,0.0,0.0,0.0,0.13999198338770186,0.10644741679623482,0.38388198441680055,0.011639731852713891,41.64323648303006,0.2396177679586608,medium sand,0.9925613895068652,1.31512804726562,0.01704235916149004
14,583,570.2847341337907,240.92967409948542,37.223515744157865,20.375487654799116,0.03222459883055904,95.59797974644667,121.0,112.0,105.0,74.12178387650086,67.66895368782161,62.35849056603774,20.0,15.0,13.0,0.3418608232920775,0.18712850856223642,0.8779719864668839,0.049173649783566656,85.59318937959607,0.4526178613851918,coarse sand,0.8016429725405441,1.826877293677458,0.08554026974265959
15,677,590.9822747415067,388.38257016248156,34.10655464806382,26.1071021433591,-0.8625435389657884,101.49747468305833,152.0,146.0,132.0,82.03988183161005,73.58788774002954,68.12998522895126,0.0,0.0,0.0,0.31323464800536177,0.23976766444743625,0.9321529566336806,0.057102162784690616,92.2357463563946,0.23454296651329565,coarse sand,0.8258250625901173,1.3064090553129257,0.08446001089483957
16,509,597.0707269155206,704.7603143418468,32.920426519083954,19.883568926807495,-1.015321444118436,86.91168824543142,128.0,128.0,128.0,54.013752455795675,49.117878192534384,45.20235756385069,0.0,0.0,0.0,0.3023412455258663,0.1826107262415162,0.7981970725575737,0.04293205444225631,79.97676314223287,0.39601119945147123,coarse sand,0.8467813302049303,1.655659838546382,0.07068760915297786
17,513,626.4444444444445,589.7485380116959,27.18688740539664,24.679764845352445,-1.3788756598999237,85.45584412271572,128.0,128.0,97.0,54.28460038986355,48.00974658869396,44.124756335282655,0.0,0.0,0.0,0.24968441388066892,0.2266589966051563,0.7848265979952768,0.04326943797421903,80.29039871096826,0.0922180800861568,coarse sand,0.8827621266423759,1.1015861607982995,0.058605330509546305
18,457,597.039387308534,573.9387308533917,35.031436290991,20.233760233307972,-0.6536244520157592,97.49747468305833,148.0,139.0,133.0,72.42231947483589,65.38074398249454,60.36323851203501,0.0,0.0,0.0,0.3217287623730633,0.18582688371500178,0.8954169507559196,0.03854606852674093,75.78147115728318,0.42241134319372836,coarse sand,0.6041424188161522,1.731335939887422,0.0712746334026756
19,1510,633.4278145695364,771.4754966887417,47.49137412099514,40.82330989627243,1.1071394899820717,146.36753236814712,179.0,174.0,178.0,58.45364238410596,54.2476821192053,51.10662251655629,8.0,3.0,0.0,0.43616084971295527,0.37492133807478,1.3442396323474042,0.12736228331592736,137.75057033523436,0.14040579680289506,sand,0.8857217494847134,1.163339627327268,0.17563948609841068
20,666,629.3648648648649,258.6966966966967,33.249737047250036,25.76528818141192,-1.3631261724738217,96.08326112068522,121.0,115.0,110.0,54.732732732732735,49.18318318318318,45.67717717717718,13.0,8.0,6.0,0.30536563390044574,0.23662844451863815,0.8824288113209827,0.05617435807179313,91.48334727786914,0.22509798664579603,coarse sand,0.9065434481908471,1.2904857424120602,0.0816665629433971
21,484,631.603305785124,290.9276859504132,29.22658784207889,21.49683986236576,0.011308821516835791,82.62741699796952,115.0,108.0,101.0,59.91528925619835,53.31198347107438,49.47314049586777,0.0,0.0,0.0,0.2684170256883766,0.19742700888428855,0.758850319125403,0.0408234073674893,77.9879694398427,0.26447657938995695,coarse sand,0.8908546937266052,1.3595760134607273,0.0611955361837821
