label,area,centroid-0,centroid-1,major_axis_length,minor_axis_length,orientation,perimeter,max_intensity-0,max_intensity-1,max_intensity-2,mean_intensity-0,mean_intensity-1,mean_intensity-2,min_intensity-0,min_intensity-1,min_intensity-2,major_axis_length(mm),minor_axis_length(mm),perimeter(mm),area(mm),Roundness Index,Elongation Index,shape,circularity,elongation,compactness
1,302,397.43046357615896,867.6125827814569,20.75253339675514,18.774168770117893,-1.3910432601035672,64.2842712474619,128.0,128.0,81.0,36.996688741721854,31.602649006622517,28.983443708609272,0.0,0.0,0.0,0.19059129721040674,0.17242199357228166,0.5903868415985847,0.025472456663185473,61.603927841790004,0.09533123444805945,coarse sand,0.9183481535314789,1.1053769490868823,0.03432365604724042
2,373,598.3190348525469,718.5415549597856,26.835225701373886,18.11683920162286,0.14811769274429434,73.698484809835,125.0,123.0,120.0,25.091152815013405,20.916890080428953,18.410187667560322,4.0,2.0,0.0,0.2464547522741781,0.16638507784931678,0.6768469927890434,0.03146101435552378,68.46353948749635,0.3248859017162904,coarse sand,0.8629816824352784,1.4812311023310323,0.04932630870940199
3,293,598.7440273037543,243.6962457337884,24.13439605054794,15.52415802964169,-0.49759804428027266,64.8700576850888,85.0,85.0,64.0,33.85665529010239,27.784982935153582,24.044368600682596,0.0,0.0,0.0,0.22165032879228488,0.14257389015605168,0.5957667051025283,0.02471334371626935,60.67904572426332,0.3567621084394514,coarse sand,0.8749614445685633,1.5546347830565717,0.03931779861483681
4,690,730.7927536231884,752.1434782608695,51.5428083231249,17.903865615263914,0.1582237381544643,118.08326112068524,145.0,135.0,137.0,23.046376811594204,19.27536231884058,17.536231884057973,0.0,0.0,0.0,0.47336922737865544,0.16442912811924426,1.084476843648668,0.05819865926356946,93.11710757915448,0.652640859166549,sand,0.6218451873457559,2.8788647899134228,0.1288580548546397
5,93,807.4408602150538,718.1182795698925,13.238687062284297,9.010468718636469,-0.9655430125956797,34.14213562373095,177.0,169.0,169.0,52.645161290322584,45.88172043010753,43.97849462365591,4.0,3.0,0.0,0.1215841214334784,0.08275215795230259,0.3135614237381728,0.007844167118133275,34.18585185621974,0.3193835101438119,medium sand,1.0025624770819237,1.4692562036093137,0.012150813053071035
6,588,846.2874149659864,881.8809523809524,33.18060650661249,27.21848297492851,0.2885437944459523,128.63961030678928,134.0,124.0,127.0,30.654761904761905,26.5765306122449,24.55442176870748,0.0,0.0,0.0,0.3047307389136473,0.2499745876376774,1.181426370085772,0.04959537919852006,85.95944346750504,0.17968699669476515,sand,0.44651675359461135,1.2190468710976954,0.07657586858874493
7,130,854.6076923076923,545.1,16.561328030242993,10.13257911080974,-0.05021639653144906,42.14213562373095,179.0,182.0,167.0,37.7,32.49230769230769,30.26923076923077,3.0,2.0,1.0,0.1520992609656334,0.09305762144289607,0.3870334354936947,0.010964964788788448,40.41816645849602,0.3881783458242949,medium sand,0.9198566141545939,1.6344632347923018,0.017971560277843125
8,514,911.8268482490272,823.7178988326848,29.707322616853535,23.553940843066073,0.0983572376713126,89.11269837220809,132.0,123.0,120.0,23.667315175097276,19.30350194552529,17.494163424124512,3.0,2.0,0.0,0.27283209456631796,0.21631942731382717,0.8184111527961434,0.04335378385720971,80.36861636099388,0.20713350217217255,coarse sand,0.8133805704456012,1.2612463797368723,0.06410088425175613
9,310,949.9290322580645,408.78709677419357,26.31656882628753,15.398369956032438,0.41675335249691925,69.45584412271572,194.0,185.0,175.0,39.13225806451613,33.58064516129032,31.558064516129033,6.0,2.0,0.0,0.24169140677124973,0.14141865230318626,0.637882574484233,0.026147223727110917,62.41454069727136,0.4148792702545987,coarse sand,0.807521269622805,1.7090490033315375,0.044099032382108695
10,179,967.6424581005587,759.6759776536313,18.258424644920716,12.616372650547948,0.5442459923126787,49.79898987322333,143.0,131.0,134.0,31.687150837988828,26.793296089385475,23.743016759776538,3.0,5.0,1.0,0.16768539876861563,0.11586878496163794,0.45735399617232236,0.015097913055331787,47.42763266251323,0.30901088697936063,medium sand,0.9070303681088778,1.4472008041176339,0.023249240355546975
11,444,980.7094594594595,184.13963963963963,34.74384473496466,16.449621024982775,1.3673785530902434,87.01219330881975,158.0,158.0,157.0,27.13063063063063,22.81981981981982,20.184684684684683,0.0,0.0,0.0,0.3190875210999188,0.15107334366517677,0.7991201112074182,0.03744957204786209,74.69584026420395,0.5265457478737634,coarse sand,0.736940801066407,2.1121364852234366,0.06967681798716342
