label,area,centroid-0,centroid-1,major_axis_length,minor_axis_length,orientation,perimeter,max_intensity-0,max_intensity-1,max_intensity-2,mean_intensity-0,mean_intensity-1,mean_intensity-2,min_intensity-0,min_intensity-1,min_intensity-2,major_axis_length(mm),minor_axis_length(mm),perimeter(mm),area(mm),Roundness Index,Elongation Index,shape,circularity,elongation,compactness
1,1202,363.05906821963396,862.9101497504159,67.28940990992511,26.220939617653986,-0.11558156069238294,166.81118318204307,106.0,98.0,98.0,45.06905158069883,41.43261231281198,39.061564059900164,0.0,0.0,0.0,0.6233964231047352,0.24292143429362595,1.5454065516216702,0.10316672405208406,122.90149502125564,0.610325909340655,sand,0.5428302059341459,2.566247086912958,0.22593795079886378
2,152,936.4934210526316,425.9605263157895,15.290065962902853,12.899565337528669,0.039029501715029696,44.72792206135786,91.0,84.0,77.0,37.69078947368421,33.546052631578945,29.585526315789473,0.0,0.0,0.0,0.14165338116456228,0.11950681246552408,0.41437763629199426,0.013046041643857552,43.704557352552996,0.15634338211320195,medium sand,0.9547639377818696,1.1853163701895837,0.018256662405272683
3,251,280.6374501992032,862.3187250996016,22.923230101378703,15.413822289944104,-1.556845778207951,64.8700576850888,107.0,102.0,105.0,50.0796812749004,46.45418326693227,44.940239043824704,0.0,0.0,0.0,0.21237011396496852,0.14279991004209844,0.6009825614701575,0.021543134556633193,56.16190011212363,0.32758942689245835,coarse sand,0.7495403501252879,1.4871866088876409,0.03517247312222338
4,1040,350.45,682.4836538461539,42.65735737029215,31.36383590092047,-0.745293650207703,123.1543289325507,130.0,121.0,119.0,46.84615384615385,42.34326923076923,39.57596153846154,0.0,0.0,0.0,0.39519508403087034,0.2905673142571843,1.1409517225546664,0.08926239019481483,114.31983834371678,0.2647496742786233,sand,0.861675687074525,1.3600810023700014,0.1332296383001649
5,632,358.42879746835445,626.4462025316456,34.637396157704686,24.081545471145112,-0.18168201937795556,100.32590180780451,170.0,161.0,141.0,49.57120253164557,45.14873417721519,40.94462025316456,0.0,0.0,0.0,0.3208949060376569,0.22310121800208554,0.9294599018695989,0.054244067887618236,89.11759774744266,0.3047530085257736,coarse sand,0.789043229940993,1.4383377594767643,0.08433231218613169
6,1098,372.57103825136613,580.0045537340619,55.1690525454539,25.886740739648946,-0.9184130138241284,138.71067811865476,128.0,128.0,112.0,47.357012750455375,42.56921675774135,37.95628415300546,0.0,0.0,0.0,0.5111085097781536,0.2398252801523897,1.2850720596503127,0.09424048503260257,117.46435601733137,0.5307742376340285,sand,0.7171209569110755,2.131170281353931,0.17704632952333554
7,826,475.3438256658596,410.35714285714283,43.99865708082876,24.254540887043987,-0.5646815127317574,115.63961030678928,130.0,129.0,119.0,51.33414043583535,46.19007263922518,41.167070217917676,0.0,0.0,0.0,0.407621429320259,0.22470391779733173,1.071332317090877,0.07089493682780484,101.8814120802253,0.4487436095495683,sand,0.7762054225658317,1.814037927402347,0.1224671684682722
8,86,507.5232558139535,504.40697674418607,10.70377416686024,10.247099212622839,-0.08428424208532737,31.899494936611664,85.0,85.0,85.0,47.33720930232558,42.627906976744185,39.872093023255815,0.0,0.0,0.0,0.09916411123642987,0.0949332889811269,0.2955298771225835,0.007381313035340457,32.87412162833996,0.0426648532674862,medium sand,1.0620395777480611,1.044566266487871,0.009613386319904006
9,1267,567.9147592738753,516.9857932123125,55.30130687562403,35.82798339690342,-1.070723498851559,183.58073580374355,137.0,130.0,126.0,50.049723756906076,44.57221783741121,41.42620363062352,0.0,0.0,0.0,0.512333767608153,0.33192498978046525,1.7007664980891566,0.10874562343925998,126.18078922083612,0.35213134334270413,sand,0.47242434161296104,1.5435227336965796,0.19063995812137527
10,85,575.1411764705882,552.2235294117647,13.373155125297492,8.151097036251217,0.6096862484984055,33.55634918610404,85.0,85.0,85.0,52.32941176470588,47.0,46.247058823529414,0.0,0.0,0.0,0.12389434060864825,0.0755150735246546,0.31087964782382843,0.007295483813999288,32.68243415384677,0.39048811145306356,medium sand,0.9485918297408359,1.640657087729624,0.011940804200745385
11,247,962.2105263157895,271.1943319838057,21.33706841863081,15.146221777709448,1.0076947806762124,58.04163056034262,88.0,85.0,85.0,47.19433198380567,42.11740890688259,38.611336032388664,0.0,0.0,0.0,0.1976752679139412,0.14032075021038956,0.537721239210141,0.02119981767126852,55.71259769340069,0.2901451370665205,coarse sand,0.9213562966076388,1.408738676336588,0.032476817010306885
12,1133,994.1041482789055,256.51368049426304,45.98124013473325,31.96814154777737,-1.028836860579625,131.88225099390857,117.0,112.0,111.0,50.016769638128864,46.09002647837599,41.90732568402471,0.0,0.0,0.0,0.42598888396084167,0.29616584720935124,1.2218107373902962,0.09724450777954345,119.32182493604823,0.3047568648843527,sand,0.8185911999364066,1.4383457376154591,0.14989455839756485
13,482,974.5912863070539,884.5892116182573,32.81728965222099,20.887599201286484,0.9228220111499504,101.32590180780451,109.0,107.0,105.0,40.5,36.91908713692946,34.04356846473029,0.0,0.0,0.0,0.30403270013174905,0.19351120253183698,0.9387243080211647,0.041369684686443024,77.82667046791299,0.3635184555872406,coarse sand,0.5899510071661427,1.5711374646732856,0.0697776696350278
14,686,160.16909620991254,923.7696793002915,32.59118002444528,27.417009312411352,-0.6935854530741405,98.08326112068522,128.0,128.0,128.0,55.0801749271137,50.66180758017493,46.14577259475219,0.0,0.0,0.0,0.3019379287052555,0.2540023097314374,0.9086831676920996,0.05887884584004131,92.84681061539159,0.15875984570527973,coarse sand,0.8960746383260434,1.188721193222619,0.0826708446606022
