label,area,centroid-0,centroid-1,major_axis_length,minor_axis_length,orientation,perimeter,max_intensity-0,max_intensity-1,max_intensity-2,mean_intensity-0,mean_intensity-1,mean_intensity-2,min_intensity-0,min_intensity-1,min_intensity-2,major_axis_length(mm),minor_axis_length(mm),perimeter(mm),area(mm),Roundness Index,Elongation Index,shape,circularity,elongation,compactness
1,197,375.0558375634518,817.3654822335026,24.241963672395464,10.920477417737851,-0.6302785438822417,59.45584412271571,88.0,85.0,85.0,52.82233502538071,46.81218274111675,43.92893401015228,0.0,0.0,0.0,0.2226382299893967,0.10029368065149331,0.5460425597898306,0.016616138949164035,49.75515059799093,0.5495217481010792,coarse sand,0.7003046199658829,2.219862991797397,0.0323832071204604
2,856,394.82827102803736,766.6845794392524,36.18917278303293,31.855979693717007,-0.06985575088342673,121.5685424949238,102.0,95.0,87.0,51.231308411214954,45.7161214953271,42.33761682242991,0.0,0.0,0.0,0.33236141601720093,0.29256536431755525,1.1164856729110877,0.0722000758400224,103.71505795154073,0.11973727930436459,sand,0.7278488646490918,1.1360244805207032,0.10077074905530001
3,342,430.7163742690058,455.0906432748538,27.378991864768377,16.006989420884867,0.9846700915593041,69.94112549695427,85.0,85.0,85.0,52.19590643274854,47.11695906432749,43.64912280701754,0.0,0.0,0.0,0.251448701517825,0.1470082143627209,0.6423393993383318,0.02884629198281269,65.5568360288295,0.4153550466742036,coarse sand,0.8785586046978561,1.7104398050670333,0.04818917088547986
4,1113,800.2264150943396,635.529200359389,42.87692527167453,37.2357357404416,-0.08764867101439715,139.05382386916236,91.0,82.0,75.0,38.1266846361186,34.86253369272237,31.91194968553459,0.0,0.0,0.0,0.393781744700138,0.34197305175590387,1.2770705227456705,0.09387696776862726,118.26398646156724,0.1315670257484538,sand,0.7233344608957444,1.1514993438173442,0.13614138512250817
5,118,591.771186440678,631.5338983050848,18.617618210434518,8.049807623223005,0.1451277312491737,42.14213562373095,136.0,133.0,124.0,81.67796610169492,77.72033898305085,71.61016949152543,0.0,0.0,0.0,0.17098423300210788,0.07392944504039127,0.3870334354936947,0.009952814192900285,38.50755422633827,0.5676241970247637,medium sand,0.8349467728480161,2.3128028745338316,0.019247931839417854
6,450,351.02666666666664,835.22,26.901723080616655,21.443682461649146,0.7446287543977379,77.698484809835,91.0,84.0,78.0,61.095555555555556,53.611111111111114,45.43333333333333,0.0,0.0,0.0,0.2470654643028576,0.19693881123799553,0.7135829986668043,0.03795564734580617,75.19884823893001,0.2028881422432067,coarse sand,0.9366930077176154,1.254529073013878,0.05431318899981858
7,489,348.5153374233129,756.3374233128834,31.972163263319693,19.86283030492123,-0.3428049474169745,85.01219330881975,85.0,85.0,61.0,47.8118609406953,42.64212678936605,39.16359918200409,0.0,0.0,0.0,0.2936323943915111,0.18242026270763856,0.7807521082685378,0.0412451367824427,78.38976483203426,0.3787461254550451,coarse sand,0.8502688738468414,1.6096479088077515,0.06728920541357819
8,579,397.4006908462867,732.958549222798,40.54939115374276,19.339443988374814,1.015824375421826,101.49747468305833,89.0,90.0,82.0,45.5699481865285,40.880829015544045,37.89637305699482,18.0,13.0,9.0,0.3724056679408803,0.17761348200739138,0.9321529566336806,0.048836266251603935,85.2990538383279,0.5230645038528585,coarse sand,0.7062817005017399,2.0967195943232655,0.09286296968676593
9,1226,435.52039151712887,749.5766721044046,47.98176282682875,33.9602320340267,0.18231092574753138,140.22539674441617,110.0,107.0,102.0,47.77814029363785,43.71207177814029,39.7300163132137,0.0,0.0,0.0,0.44066458030792804,0.31189082090303255,1.2878302497535579,0.10340805254657415,124.12240077119175,0.2922262536165508,sand,0.7835143939577415,1.4128808889984341,0.1598970248994911
10,1058,457.5226843100189,321.2211720226843,42.186804096466666,32.781522410005145,0.0031248044222595642,126.46803743153548,101.0,94.0,88.0,49.013232514177695,44.1937618147448,39.986767485822305,0.0,0.0,0.0,0.3874436708129371,0.3010655499839752,1.1614826416084443,0.08923794420413984,115.30490063302602,0.2229436879113878,sand,0.8312544313784804,1.2869080199762464,0.13059856604336495
11,536,471.82462686567163,413.27425373134326,42.055193221305636,17.410567944768893,-0.7867951588449147,101.7401153701776,99.0,96.0,94.0,52.21268656716418,46.61194029850746,41.61380597014925,0.0,0.0,0.0,0.38623495634206395,0.15989868158854653,0.9343813690607301,0.04520939328300468,82.07054678321887,0.5860067066354958,coarse sand,0.6507140772607046,2.4154980673069524,0.09266611930620254
12,590,463.1271186440678,388.21016949152545,36.71516956661798,20.65488460863603,-1.5109119513363665,94.76955262170047,86.0,75.0,69.0,46.24067796610169,41.764406779661016,37.52542372881356,0.0,0.0,0.0,0.3371921712505669,0.18969449059683177,0.8703637105358907,0.049764070964501424,86.1055088973517,0.43742913753513524,coarse sand,0.8255135662939471,1.777553845605459,0.08487709217141973
13,1038,503.02408477842005,441.0414258188825,50.42674072606755,27.382630072606364,0.38621512949204573,133.29646455628165,97.0,92.0,88.0,46.1233140655106,41.201348747591524,37.040462427745666,0.0,0.0,0.0,0.46311926092728606,0.25148211482395516,1.2241949263560787,0.08755102654432623,114.20986252379792,0.4569819568280919,sand,0.7341249024243033,1.8415594335664112,0.15462457683746395
14,1522,498.47437582128777,141.9526938239159,53.59407479540793,39.97768010050357,-1.2925566473594943,165.53910524340094,118.0,113.0,105.0,52.33245729303548,46.917871222076215,42.73455978975033,0.0,0.0,0.0,0.4922080616743162,0.3671550727878364,1.5203113858052157,0.12837443391181552,138.29684043771448,0.2540653000706534,sand,0.6979483896112485,1.3405999212728914,0.19899540701326798
15,1473,582.2077393075357,344.81466395112017,52.82523039796316,39.76577336039767,0.6497864009900419,179.6812408671319,107.0,99.0,96.0,45.03530210454854,39.900882552613716,35.78004073319756,0.0,0.0,0.0,0.48514699359841257,0.3652089209753195,1.650192780154584,0.1242414856452722,136.05243075723072,0.24722006774378483,sand,0.5733332572949538,1.3284094821747205,0.1929575257911496
16,287,591.5261324041812,546.0452961672474,23.424536611522377,16.037410942000378,0.4270185308859837,65.45584412271572,81.0,75.0,71.0,45.30662020905923,39.92334494773519,35.81184668989547,0.0,0.0,0.0,0.21513097866117808,0.14728760565734836,0.6011465686064721,0.024207268418325267,60.05454492643402,0.3153584547703847,coarse sand,0.8417728320314541,1.460618343960736,0.03776860159540835
17,133,663.4661654135339,706.827067669173,14.525539468462437,11.701835320031343,0.03531436179457815,40.14213562373095,85.0,85.0,85.0,44.88721804511278,39.857142857142854,37.70676691729323,0.0,0.0,0.0,0.13340257582277112,0.10746967277431548,0.3686654325548142,0.01121800243776049,40.88186996346632,0.19439581948483667,medium sand,1.0371953407493648,1.241304382706313,0.015943256735820966
18,639,663.5649452269171,364.29890453834116,37.90363748911412,22.736334508405363,1.4761987263146235,102.18376618407356,110.0,101.0,96.0,43.94992175273865,39.838810641627546,37.65571205007825,0.0,0.0,0.0,0.348107062397154,0.20881052953487955,0.9384558587874688,0.05389701923104476,89.60976968263846,0.4001542855897349,coarse sand,0.7690364266380109,1.667095347981513,0.09119064074876806
