label,area,centroid-0,centroid-1,major_axis_length,minor_axis_length,orientation,perimeter,max_intensity-0,max_intensity-1,max_intensity-2,mean_intensity-0,mean_intensity-1,mean_intensity-2,min_intensity-0,min_intensity-1,min_intensity-2,major_axis_length(mm),minor_axis_length(mm),perimeter(mm),area(mm),Roundness Index,Elongation Index,shape,circularity,elongation,compactness
1,212,581.372641509434,367.0377358490566,21.4052800923701,13.078268664417166,1.4892138775975217,56.87005768508881,206.0,197.0,192.0,49.410377358490564,41.60849056603774,38.924528301886795,0.0,0.0,0.0,0.19658612382210677,0.12011083863174142,0.5222946933470065,0.01788132719402424,51.61463523308233,0.3890167001795548,coarse sand,0.8237176795716078,1.6367059464536566,0.02966250291476065
2,155,598.4387096774194,378.59354838709675,20.48982535942797,9.73681886180669,-1.4838593951135872,48.970562748477136,179.0,174.0,173.0,40.096774193548384,32.65806451612903,30.993548387096773,5.0,4.0,2.0,0.18817858620956027,0.08942295873450602,0.4497457202413292,0.013073611863555459,44.13374497168432,0.5247973718172033,medium sand,0.8122156861091716,2.104365465788899,0.02427856725714648
3,137,682.3211678832117,342.33576642335765,14.416538566534742,12.144255102029794,1.5257911929944081,42.14213562373095,189.0,192.0,204.0,33.47445255474452,28.751824817518248,26.642335766423358,5.0,8.0,5.0,0.13240151137929687,0.11153285670229868,0.3870334354936947,0.011555385969723211,41.4920808608969,0.15761643851039409,medium sand,0.9693873549167642,1.1871076855199754,0.01605980360852002
4,102,696.3235294117648,324.6862745098039,14.406718060351961,9.14485253369013,-1.4062694743214197,36.970562748477136,196.0,183.0,188.0,36.490196078431374,30.784313725490197,29.69607843137255,3.0,4.0,0.0,0.13231131983608357,0.0839863391072244,0.3395377026080464,0.008603280065049398,35.80181284047828,0.365236933534693,medium sand,0.9377734075522064,1.5753909652754743,0.01384790550620144
5,77,753.038961038961,402.3376623376623,15.3445359389893,6.957798607464232,-1.1939332086628234,36.14213562373095,192.0,183.0,179.0,36.44155844155844,30.68831168831169,28.2987012987013,1.0,3.0,0.0,0.1409242406115562,0.06390043263502072,0.3319294266770533,0.006494632990282389,31.106438839983856,0.546561809680735,medium sand,0.7407522284498007,2.20537224554443,0.012814984041417886
6,83,862.8072289156627,26.819277108433734,11.073462537277804,9.749690502088459,0.45115947752610575,31.899494936611664,163.0,157.0,161.0,37.83132530120482,33.75903614457831,33.24096385542169,5.0,2.0,0.0,0.10169869621415073,0.0895411718977679,0.2929650083722428,0.007000708288226471,32.29564616154647,0.11954454451197957,medium sand,1.024991685501036,1.1357758007708842,0.009601551933819417
7,98,862.8673469387755,493.9183673469388,13.65878959211901,9.475441370226704,-0.8480411273803936,36.97056274847714,185.0,184.0,173.0,29.93877551020408,25.908163265306122,23.1734693877551,0.0,2.0,0.0,0.12544234368479595,0.08702246746775684,0.33953770260804644,0.008265896533086677,35.092795844834,0.30627517860777775,medium sand,0.9009979798050609,1.4414937582788523,0.012868982230411509
8,108,873.4722222222222,202.35185185185185,12.435340764551638,11.338180804927562,-1.001390848256803,36.72792206135786,199.0,192.0,186.0,45.24074074074074,38.9537037037037,37.43518518518518,2.0,1.0,0.0,0.11420618785463228,0.10412986917323379,0.337309290180997,0.00910935536299348,36.839761486073584,0.08822918329280173,medium sand,1.0060994305352313,1.0967668428031463,0.012299530020251841
9,576,886.8420138888889,612.5190972222222,43.85203109696138,17.211422617459892,-1.568802555956252,106.76955262170047,85.0,79.0,74.0,28.289930555555557,22.37847222222222,20.505208333333332,0.0,0.0,0.0,0.4027371180324322,0.15806973060990853,0.9805717281691735,0.048583228602631895,85.07778484346477,0.6075113925874117,coarse sand,0.6349470378852732,2.5478446536125543,0.10016590137570087
10,185,974.1189189189189,220.94054054054055,19.833019648299025,11.951743518011238,0.7239553684295204,51.21320343559643,181.0,171.0,168.0,33.97837837837838,28.616216216216216,25.81081081081081,6.0,3.0,1.0,0.1821464815934153,0.109764830031788,0.47034213560725924,0.01560398835327587,48.21595756237189,0.397381552080685,medium sand,0.8863754277665753,1.6594248042899122,0.025674006967673756
