label,area,centroid-0,centroid-1,major_axis_length,minor_axis_length,orientation,perimeter,max_intensity-0,max_intensity-1,max_intensity-2,mean_intensity-0,mean_intensity-1,mean_intensity-2,min_intensity-0,min_intensity-1,min_intensity-2,major_axis_length(mm),minor_axis_length(mm),perimeter(mm),area(mm),Roundness Index,Elongation Index,shape,circularity,elongation,compactness
1,8566,1454.642890497315,2974.9821386878357,154.252278770722,76.85561917899796,-0.28000936332684534,434.51681066681454,255.0,255.0,255.0,88.7380340882559,82.16273639971982,77.87788932990894,0.0,0.0,0.0,4.462457437918669,2.2234026763451675,12.570399537130603,7.169074057370074,328.0907354415859,0.5017537517663849,medium gravel,0.5701311470165012,2.0070396988340695,13.48219733833097
2,11385,2541.8761528326745,2770.0074659639877,173.86200872552834,92.15507625474093,-0.10270935686177915,492.13203435596427,255.0,255.0,255.0,64.54747474747475,59.33526570048309,55.35599472990777,0.0,0.0,0.0,5.029759172387513,2.666009920580741,14.237185179053933,9.528357242955673,378.24347905083465,0.4699527692664366,medium gravel,0.5907172156900958,1.8866243270737242,17.519078814226607
3,18603,2602.124818577649,2647.857926140945,226.1953553824251,157.35929885996768,0.5064017904260179,1030.7371567773473,255.0,255.0,255.0,46.39504381013815,42.1422351233672,38.967370854163306,0.0,0.0,0.0,6.543742200070158,4.5523423006740895,29.818818421716895,15.569260412007413,483.499940577994,0.3043212642721038,coarse gravel,0.2200376438449931,1.437445114595445,29.13501406205406
4,7209,2676.961853239007,490.157164655292,106.11001127864573,87.12333405972075,-1.5193284777047384,322.9360748630709,255.0,255.0,255.0,60.040088777916495,56.457483700929394,51.86267166042447,0.0,0.0,0.0,3.069720673442017,2.5204436082850745,9.34241296614477,6.033370870835964,300.9833313639067,0.178933891252408,medium gravel,0.8686638828977099,1.2179287262573093,8.508126323827755
5,4929,1315.7352404138771,2586.0501115845,118.71512984468811,68.06554449522693,-0.9207505710673437,372.73506473629425,255.0,255.0,255.0,109.21829985798337,102.87989450192737,98.66747819030229,0.0,0.0,0.0,3.4343817698559724,1.9691092910866037,10.783078054087587,4.125188656172904,248.87675817194415,0.42664810640164147,medium gravel,0.4458288627279408,1.7441295845802418,7.870920700647525
6,15890,1642.374449339207,2438.150283196979,162.5179763994466,137.6635225708718,0.698175048924646,557.144227664784,255.0,255.0,255.0,64.2375707992448,58.3118313404657,54.79754562617999,0.0,0.0,0.0,4.701580802298359,3.9825512797744977,16.11796222752509,13.298690960963166,446.8552663471331,0.15293356697652946,coarse gravel,0.643277691465976,1.1805449502120597,19.34654467792164
7,12303,1390.7878566203365,2807.104202227099,153.52154249759744,103.95419337851892,0.2816770761053234,439.6467529817257,255.0,255.0,255.0,72.58034625701049,65.90514508656425,61.16995854669593,0.0,0.0,0.0,4.441317526449299,3.0073537139397954,12.71880674006921,10.296651660964747,393.19722489923663,0.32286901442417587,medium gravel,0.7998584698581267,1.476819140316865,16.081068181056995
8,3962,1456.0565371024734,1928.6388187783948,95.70627194855233,53.62472203694716,-0.8918176538363392,253.96551211459382,255.0,255.0,255.0,80.69459868753155,75.4429581019687,70.24507824331145,0.0,0.0,0.0,2.7687446079619766,1.5513420068547876,7.34712185480985,3.315885058989054,223.1321589867562,0.43969479799846806,fine gravel,0.771924537398582,1.7847415951659606,5.6890230193055045
9,3561,1446.4358326312833,2901.706543105869,80.93671456284275,56.69921865735228,-0.6572969361653164,231.37972567696687,255.0,255.0,255.0,78.42263409154732,72.81662454366752,68.0584105588318,0.0,0.0,0.0,2.34146715225196,1.6402859785154953,6.693723982940218,2.9802793273750683,211.53922983156815,0.29946231492595904,fine gravel,0.8358555568086347,1.4274749543192788,4.561121214809309
10,22976,1667.7676706128134,2841.055579735376,230.79387872792864,137.1139409079423,0.12419758498895322,652.8843430349616,255.0,255.0,255.0,73.0627176183844,67.18954561281338,62.827515668523674,0.0,0.0,0.0,6.676775662331591,3.9666520995547434,18.88768591229397,19.2291204228502,537.3313049092862,0.4059030436003068,coarse gravel,0.6773478848142886,1.6832269366605301,33.037072259657414
