label,area,centroid-0,centroid-1,major_axis_length,minor_axis_length,orientation,perimeter,max_intensity-0,max_intensity-1,max_intensity-2,mean_intensity-0,mean_intensity-1,mean_intensity-2,min_intensity-0,min_intensity-1,min_intensity-2,major_axis_length(mm),minor_axis_length(mm),perimeter(mm),area(mm),Roundness Index,Elongation Index,shape,circularity,elongation,compactness
1,370,760.0054054054054,338.26216216216216,33.24134933647467,16.19172696987817,0.5029859627774337,84.66904755831213,104.0,100.0,87.0,38.605405405405406,34.77297297297297,31.62972972972973,0.0,0.0,0.0,0.30796136127917983,0.15000673494421135,0.7844084450464344,0.031756811896232195,68.18766110751191,0.5129040399057596,coarse sand,0.6485780389518668,2.052983563662745,0.06192553086054299
2,492,1092.6300813008131,731.1239837398374,26.4661010450482,23.788455063121276,0.3003997650625822,81.59797974644667,148.0,141.0,136.0,52.790650406504064,48.41463414634146,44.17479674796748,0.0,0.0,0.0,0.24519270932970355,0.2203859094230246,0.7559568255183127,0.042227976899854705,78.62985655757431,0.10117266526600495,coarse sand,0.9285732191435982,1.1125607348111488,0.05685422573503896
3,121,1242.5867768595042,680.5289256198347,20.759729829409103,8.468155887090306,-0.3042585188317071,50.83452377915607,128.0,128.0,128.0,85.95867768595042,81.76859504132231,79.59504132231405,0.0,0.0,0.0,0.19232656873641935,0.0784524354927766,0.4709516748115256,0.01038533578228134,38.99398471992135,0.5920873750922345,medium sand,0.5884068439543254,2.451505393406525,0.02211589983187443
4,904,1028.8904867256638,392.66482300884957,62.41422143235417,30.12771339570313,-0.8187533459732359,180.53910524340094,128.0,90.0,85.0,42.96238938053097,39.288716814159294,36.29756637168141,0.0,0.0,0.0,0.5782306969830847,0.27911537331576,1.6725875972151283,0.07758961609241596,106.58329623060405,0.517294092527355,sand,0.34852643418087725,2.0716547788607085,0.18174313052453267
5,751,152.60585885486017,136.09187749667112,36.43644559837375,26.428038975953744,-1.2913813848363291,102.08326112068522,101.0,98.0,97.0,43.00665778961385,37.51264980026631,34.88282290279627,0.0,0.0,0.0,0.3375620307427622,0.24484008686264355,0.9457407922983623,0.06445774522721724,97.145994932286,0.27468120059621587,coarse sand,0.9056090004987563,1.378704096491095,0.09670439338245067
6,471,453.08492569002124,463.7388535031847,46.463188976299335,18.385801563685547,-0.061715998465944825,112.81118318204308,119.0,114.0,105.0,43.00636942675159,37.29936305732484,34.00849256900212,0.0,0.0,0.0,0.43045385377338646,0.17033353310807436,1.0451286194371232,0.04042556325169017,76.93348139375449,0.6042931626353916,sand,0.46507871382228827,2.527123379166152,0.09765842131715119
7,202,529.960396039604,771.5049504950495,23.527388440571695,11.150672426727397,-1.5071475016280704,55.55634918610404,90.0,89.0,85.0,49.41089108910891,44.113861386138616,42.59405940594059,0.0,0.0,0.0,0.2179672821991078,0.10330435822426716,0.5146965831582735,0.017337502710915956,50.382604776852816,0.5260556667862604,coarse sand,0.8224203266765286,2.1099524351713677,0.032384682187498806
8,1527,628.464309102816,888.8310412573674,51.339363667026355,38.79747176609607,0.10259731992470314,152.46803743153546,138.0,121.0,115.0,45.10543549443353,39.79109364767518,36.89849377865095,0.0,0.0,0.0,0.47562871657426675,0.35943553609501644,1.4125258238978642,0.1310612209879637,138.52381718724928,0.24429387131234626,sand,0.8254509674786319,1.3232657008308015,0.1942943769113785
9,927,625.9892125134844,230.05285868392664,51.087619253413465,24.750796031871577,0.4273901459325464,129.63961030678928,136.0,136.0,127.0,36.72168284789644,32.85221143473571,29.04962243797195,0.0,0.0,0.0,0.47329645408016924,0.2293014270138186,1.2010340032127966,0.07956368818326283,107.93065162182128,0.5155226179341322,sand,0.6931291510019089,2.064079845659428,0.15064189263106587
10,7353,820.3674690602476,122.66190670474636,113.54392347148863,84.82853251460087,1.3486032259169813,366.23253941935263,131.0,123.0,117.0,36.692234462124304,32.812865497076025,29.564123487012104,0.0,0.0,0.0,1.0519170230821626,0.7858859784565579,3.3929269911001727,0.631102264521609,303.97454355156617,0.2529011688071385,very fine gravel,0.6889069613968777,1.3385109951294418,0.9429451083408731
11,231,868.8528138528138,251.35497835497836,18.688535434319622,15.846507493617777,0.43667681988384005,55.698484809834994,112.0,110.0,108.0,36.57575757575758,32.09090909090909,29.558441558441558,0.0,0.0,0.0,0.17313818264146397,0.14680848150470424,0.5160133853051232,0.01982655012980983,53.87793251338593,0.15207333665551692,coarse sand,0.9356966655985677,1.1793472752179923,0.027508790137721607
12,231,960.7878787878788,514.0909090909091,20.14568218490137,14.734026576400904,0.4905456673804193,54.87005768508881,128.0,128.0,128.0,45.35497835497836,42.01731601731602,39.688311688311686,0.0,0.0,0.0,0.1866377819612875,0.13650200645174082,0.5083384999545008,0.01982655012980983,53.87793251338593,0.26862607872154126,coarse sand,0.9641642189624564,1.3672896597843913,0.029653652922849518
13,720,961.1805555555555,371.37083333333334,49.70254857629029,20.452147512205435,0.40300306880705533,129.1543289325507,128.0,109.0,94.0,42.081944444444446,37.955555555555556,33.97638888888889,0.0,0.0,0.0,0.460464596778676,0.18947700122480485,1.1965381594640605,0.06179703936564103,95.11985514254427,0.5885090785472967,sand,0.5424059263447326,2.4301872723453024,0.12916211221469448
