label,area,centroid-0,centroid-1,major_axis_length,minor_axis_length,orientation,perimeter,max_intensity-0,max_intensity-1,max_intensity-2,mean_intensity-0,mean_intensity-1,mean_intensity-2,min_intensity-0,min_intensity-1,min_intensity-2,major_axis_length(mm),minor_axis_length(mm),perimeter(mm),area(mm),Roundness Index,Elongation Index,shape,circularity,elongation,compactness
1,327,315.83792048929666,892.3455657492354,25.330748081193587,16.92538677697451,-0.7958371560813029,69.94112549695429,64.0,64.0,54.0,23.25993883792049,19.061162079510705,16.192660550458715,0.0,0.0,0.0,0.23263762759970227,0.15544277703057818,0.642339399338332,0.027581103737952483,64.10306693829438,0.33182444029197483,coarse sand,0.840025332561985,1.4966126573635428,0.04359541743984647
2,949,347.0526870389884,833.100105374078,54.43276895715811,22.49675300327995,1.545250025944558,129.84062043356596,106.0,100.0,89.0,27.469968387776607,22.621707060063226,20.181243414120125,0.0,0.0,0.0,0.4999106300882408,0.20661021263975704,1.1924564488549014,0.08004424295815568,109.20387224373894,0.5867057025707023,sand,0.7073834785164945,2.4195833482823943,0.15959250139288803
3,218,365.6926605504587,814.0183486238532,18.868814971382584,15.419269325147676,-0.7858692491180794,56.87005768508881,64.0,64.0,52.0,27.990825688073393,22.25229357798165,20.646788990825687,0.0,0.0,0.0,0.17329122442377354,0.14161059213985097,0.5222946933470065,0.01838740249196832,52.33993498209851,0.1828172914656626,coarse sand,0.8470304440877854,1.2237165441172337,0.02651501157148581
4,510,515.4843137254902,514.6745098039215,36.29427219703171,18.180125492828246,-0.8397544668845849,89.7401153701776,81.0,62.0,67.0,29.945098039215686,22.59607843137255,19.83529411764706,0.0,0.0,0.0,0.33332664918980304,0.16696629924074247,0.8241733514274473,0.04301640032524699,80.05528722903428,0.4990910578359775,coarse sand,0.7958052374740955,1.9963708287574355,0.078008536169477
5,1513,542.3509583608725,576.2359550561798,49.900897600261764,40.0223815106594,-1.1641535034959303,163.43250352560273,93.0,87.0,84.0,28.170522141440845,22.493060145406478,19.663582286847323,0.0,0.0,0.0,0.4582899168871907,0.3675656106043936,1.5009643525334317,0.12761532096489941,137.88734075151868,0.19796269335144273,sand,0.7118228501469396,1.2468247944458617,0.1847339727921715
6,1115,691.8789237668161,301.37578475336323,40.87259228120705,35.69043537433423,0.44898312944496727,127.78174593052023,136.0,130.0,117.0,24.18116591928251,19.060089686098653,16.157847533632285,0.0,0.0,0.0,0.37537394757043707,0.3277810109228473,1.1735477423935363,0.09404565953460862,118.37019572092662,0.12678806548943902,sand,0.8581181659444446,1.1451973575699057,0.12989384277230556
7,1370,692.6233576642336,813.2182481751825,51.30598013079076,34.581696494796255,-1.1751919468917253,146.22539674441617,63.0,57.0,55.0,22.88905109489051,18.685401459854013,15.987591240875913,0.0,0.0,0.0,0.4711941969122538,0.317598351423945,1.3429342585701993,0.11555385969723211,131.20948038031423,0.32597142854225675,sand,0.8051648633402511,1.4836166333977028,0.1807370629767957
8,932,830.7188841201717,352.31223175965664,39.64571661900489,30.749754848604052,0.41291668449199315,119.49747468305833,90.0,79.0,71.0,23.818669527896997,18.561158798283262,15.773605150214593,0.0,0.0,0.0,0.364106319685952,0.2824057937145066,1.0974649830836047,0.0786103629473141,108.22133529292064,0.22438645404977736,sand,0.8201783880977425,1.2893018762003134,0.11519222764312756
9,222,497.0450450450451,497.0315315315315,21.154101447396084,13.448123127509273,-1.3734483913799815,55.21320343559643,79.0,73.0,68.0,28.707207207207208,21.216216216216218,19.18018018018018,0.0,0.0,0.0,0.1942792987775734,0.12350758256425835,0.5070781414850202,0.018724786023931045,52.817935177245765,0.36427821522220033,coarse sand,0.9151176837395029,1.5730151521384854,0.029997842346678186
10,605,564.7322314049587,654.8793388429752,32.80049370700492,23.993050549613613,1.1323235413846262,93.25483399593904,68.0,63.0,60.0,26.606611570247935,20.606611570247935,17.8198347107438,0.0,0.0,0.0,0.3012397824034983,0.22035221150400525,0.8564525324511092,0.051029259209361626,87.19320054733225,0.26851556674924,coarse sand,0.8742236115825704,1.367083090963318,0.0767851109977864
